,Date,Time,Stage_01,Flow_01,Stage_02,Flow_02,Stage_03,Flow_03,Precipitation
0,2021-01-01,01:00:00,0.19,0.0,0.19,0.0,0.19,0.01,0.0
1,2021-01-01,01:10:00,0.19,0.0,0.19,0.0,0.19,0.0,0.03
2,2021-01-01,01:20:00,0.19,-0.01,0.19,0.0,0.19,0.03,0.03
3,2021-01-01,01:30:00,0.19,-0.03,0.19,0.01,0.19,0.02,0.03
4,2021-01-01,01:40:00,0.19,-0.07,0.19,0.02,0.19,0.01,0.03
5,2021-01-01,01:50:00,0.19,-0.12,0.19,0.01,0.19,0.01,0.03
6,2021-01-01,02:00:00,0.19,-0.17,0.19,0.01,0.19,-0.01,0.03
7,2021-01-01,02:10:00,0.2,-0.22,0.19,0.0,0.19,-0.04,0.03
8,2021-01-01,02:20:00,0.2,-0.27,0.19,-0.01,0.19,-0.06,0.03
9,2021-01-01,02:30:00,0.2,-0.32,0.19,-0.01,0.19,-0.08,0.03
10,2021-01-01,02:40:00,0.21,-0.36,0.19,-0.01,0.19,-0.09,0.03
11,2021-01-01,02:50:00,0.21,-0.39,0.19,-0.01,0.19,-0.11,0.03
12,2021-01-01,03:00:00,0.22,-0.41,0.19,-0.01,0.19,-0.11,0.03
13,2021-01-01,03:10:00,0.22,-0.43,0.19,-0.01,0.19,-0.12,0.03
14,2021-01-01,03:20:00,0.22,-0.45,0.19,0.0,0.19,-0.13,0.03
15,2021-01-01,03:30:00,0.23,-0.46,0.19,0.0,0.19,-0.14,0.03
16,2021-01-01,03:40:00,0.23,-0.47,0.19,0.0,0.19,-0.14,0.03
17,2021-01-01,03:50:00,0.24,-0.48,0.19,0.01,0.19,-0.14,0.03
18,2021-01-01,04:00:00,0.24,-0.5,0.19,0.01,0.19,-0.15,0.03
19,2021-01-01,04:10:00,0.24,-0.51,0.19,0.02,0.19,-0.15,0.04
20,2021-01-01,04:20:00,0.25,-0.52,0.19,0.02,0.19,-0.15,0.04
21,2021-01-01,04:30:00,0.25,-0.53,0.19,0.02,0.19,-0.16,0.04
22,2021-01-01,04:40:00,0.25,-0.55,0.19,0.03,0.19,-0.16,0.04
23,2021-01-01,04:50:00,0.26,-0.56,0.19,0.03,0.2,-0.16,0.04
24,2021-01-01,05:00:00,0.26,-0.58,0.19,0.04,0.2,-0.16,0.04
25,2021-01-01,05:10:00,0.26,-0.59,0.19,0.04,0.2,-0.17,0.04
26,2021-01-01,05:20:00,0.27,-0.61,0.2,0.05,0.2,-0.17,0.04
27,2021-01-01,05:30:00,0.27,-0.62,0.2,0.05,0.2,-0.17,0.04
28,2021-01-01,05:40:00,0.28,-0.63,0.2,0.06,0.2,-0.17,0.04
29,2021-01-01,05:50:00,0.28,-0.64,0.2,0.06,0.2,-0.17,0.04
30,2021-01-01,06:00:00,0.28,-0.66,0.2,0.07,0.2,-0.18,0.04
31,2021-01-01,06:10:00,0.29,-0.67,0.2,0.07,0.2,-0.18,0.04
32,2021-01-01,06:20:00,0.29,-0.68,0.2,0.08,0.2,-0.18,0.04
33,2021-01-01,06:30:00,0.29,-0.68,0.2,0.08,0.2,-0.18,0.04
34,2021-01-01,06:40:00,0.29,-0.69,0.2,0.09,0.2,-0.18,0.04
35,2021-01-01,06:50:00,0.3,-0.7,0.2,0.1,0.2,-0.18,0.04
36,2021-01-01,07:00:00,0.3,-0.71,0.2,0.1,0.2,-0.18,0.04
37,2021-01-01,07:10:00,0.3,-0.72,0.2,0.11,0.2,-0.18,0.04
38,2021-01-01,07:20:00,0.31,-0.73,0.2,0.12,0.2,-0.18,0.05
39,2021-01-01,07:30:00,0.31,-0.74,0.2,0.12,0.2,-0.18,0.05
40,2021-01-01,07:40:00,0.31,-0.75,0.2,0.13,0.2,-0.18,0.05
41,2021-01-01,07:50:00,0.31,-0.76,0.2,0.14,0.21,-0.18,0.06
42,2021-01-01,08:00:00,0.32,-0.78,0.2,0.14,0.21,-0.18,0.06
43,2021-01-01,08:10:00,0.32,-0.81,0.21,0.15,0.21,-0.19,0.06
44,2021-01-01,08:20:00,0.32,-0.84,0.21,0.16,0.21,-0.19,0.06
45,2021-01-01,08:30:00,0.33,-0.87,0.21,0.16,0.21,-0.19,0.06
46,2021-01-01,08:40:00,0.33,-0.91,0.21,0.17,0.21,-0.2,0.06
47,2021-01-01,08:50:00,0.34,-0.94,0.21,0.17,0.21,-0.2,0.06
48,2021-01-01,09:00:00,0.34,-0.97,0.21,0.18,0.21,-0.21,0.07
49,2021-01-01,09:10:00,0.34,-1.01,0.21,0.18,0.21,-0.22,0.07
50,2021-01-01,09:20:00,0.35,-1.04,0.21,0.18,0.21,-0.22,0.08
51,2021-01-01,09:30:00,0.35,-1.07,0.21,0.19,0.21,-0.23,0.1
52,2021-01-01,09:40:00,0.36,-1.12,0.21,0.19,0.21,-0.24,0.11
53,2021-01-01,09:50:00,0.36,-1.17,0.21,0.2,0.22,-0.25,0.12
54,2021-01-01,10:00:00,0.37,-1.25,0.21,0.2,0.22,-0.26,0.13
55,2021-01-01,10:10:00,0.38,-1.34,0.22,0.21,0.22,-0.28,0.14
56,2021-01-01,10:20:00,0.39,-1.46,0.22,0.21,0.22,-0.29,0.16
57,2021-01-01,10:30:00,0.4,-1.59,0.22,0.21,0.22,-0.32,0.18
58,2021-01-01,10:40:00,0.41,-1.77,0.22,0.21,0.22,-0.34,0.33
59,2021-01-01,10:50:00,0.42,-2.04,0.22,0.21,0.22,-0.38,0.76
60,2021-01-01,11:00:00,0.44,-2.5,0.22,0.2,0.23,-0.42,1.04
61,2021-01-01,11:10:00,0.47,-3.18,0.22,0.2,0.23,-0.49,0.27
62,2021-01-01,11:20:00,0.51,-4.09,0.22,0.19,0.23,-0.58,0.23
63,2021-01-01,11:30:00,0.55,-5.06,0.23,0.17,0.24,-0.7,0.18
64,2021-01-01,11:40:00,0.61,-5.81,0.23,0.15,0.25,-0.84,0.15
65,2021-01-01,11:50:00,0.66,-6.17,0.23,0.12,0.25,-0.99,0.13
66,2021-01-01,12:00:00,0.7,-6.26,0.23,0.09,0.26,-1.12,0.12
67,2021-01-01,12:10:00,0.72,-6.1,0.23,0.05,0.27,-1.23,0.11
68,2021-01-01,12:20:00,0.74,-5.74,0.24,0.03,0.27,-1.29,0.11
69,2021-01-01,12:30:00,0.75,-5.23,0.24,0.03,0.28,-1.33,0.1
