,标题,作者,调整出版物名称,出版年,起始页面,结束页面,Pages,会议名称,合计引用次数,每年的平均数,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Author_number
0,Exercise-based rehabilitation for patients with coronary heart disease: Systematic review and meta-analysis of randomized controlled trials,"Taylor, RS; Brown, A; Ebrahim, S; Jolliffe, J; Noorani, H; Rees, K; Skidmore, B; Stone, JA; Thompson, DR; Oldridge, N",AMERICAN JOURNAL OF MEDICINE,2004,682,692,10,0,1403,82.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,58,82,84,94,114,125,129,115,130,123,86,98,69,65,10
1,"Epidemiology of urinary tract infections: incidence, morbidity, and economic costs.","Foxman, Betsy",AMERICAN JOURNAL OF MEDICINE,2002,5,13,8,0,833,43.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,16,31,32,33,30,45,41,55,52,71,65,71,76,78,110,1
2,Fixed-dose combinations improve medication compliance: A meta-analysis,"Bangalore, Sripal; Kamalakkannan, Gayathri; Parkar, Sanobar; Messerli, Franz H.",AMERICAN JOURNAL OF MEDICINE,2007,713,719,6,1,711,50.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,39,63,61,62,74,60,76,49,50,57,45,61,4
3,Metabolic syndrome and risk of cardiovascular disease: A meta-analysis,"Galassi, Andrea; Reynolds, Kristi; He, Jiang",AMERICAN JOURNAL OF MEDICINE,2006,812,819,7,0,690,46.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,43,50,38,51,66,52,62,56,52,56,73,58,3
4,Mechanisms of antimicrobial resistance in bacteria,"Tenover, Fred C.",AMERICAN JOURNAL OF MEDICINE,2006,3,10,7,1,563,37.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,20,16,23,41,38,66,67,57,68,57,51,41,1
5,N-3 polyunsaturated fatty acids in coronary heart disease: a meta-analysis of randomized controlled trials.,"Bucher, Heiner C; Hengstler, Peter; Schindler, Christian; Meier, Gabriela",AMERICAN JOURNAL OF MEDICINE,2002,298,304,6,0,538,28.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,19,18,28,57,37,58,55,39,35,31,30,30,20,24,16,19,15,4
6,Deep vein thrombosis and pulmonary embolism in two cohorts: The longitudinal investigation of thromboembolism etiology,"Cushman, M; Tsai, AW; White, RH; Heckbert, SR; Rosamond, WD; Enright, P; Folsom, AR",AMERICAN JOURNAL OF MEDICINE,2004,19,25,6,0,523,30.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,23,28,37,42,38,28,39,30,46,46,31,47,34,35,7
7,"Combination Therapy Versus Monotherapy in Reducing Blood Pressure: Meta-analysis on 11,000 Participants from 42 Trials","Wald, David S.; Law, Malcolm; Morris, Joan K.; Bestwick, Jonathan P.; Wald, Nicholas J.",AMERICAN JOURNAL OF MEDICINE,2009,290,300,10,0,519,43.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,38,50,68,56,44,34,49,60,51,49,5
8,"Antifungal Drug Resistance: Mechanisms, Epidemiology, and Consequences for Treatment","Pfaller, Michael A.",AMERICAN JOURNAL OF MEDICINE,2012,3,13,10,0,513,57.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,64,74,70,78,76,68,55,1
9,Etiology of insulin resistance,"Petersen, KF; Shulman, GI",AMERICAN JOURNAL OF MEDICINE,2006,10,16,6,0,508,33.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,51,60,59,57,36,32,39,40,32,28,20,21,20,2
